work_id	title	author	rating	category	fandom	relationship	character	additional tags	language	published	status	status date	words	chapters	comments	kudos	bookmarks	hits
37666732	The Hunt	['Shinigami24']	Mature	M/M	名探偵コナン | Detective Conan | Case Closed	Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei	Akai Shuuichi | Okiya Subaru, Amuro Tooru | Furuya Rei, Amuro Haro | Furuya Rei's Dog, Kudou Shinichi | Edogawa Conan, Sera Masumi, Kuroba Kaito | Kaitou Kid, Minor Characters	Black Organization (Meitantei Conan), Age Regression/De-Aging, Fluff, Arc: FBI Serial Murder Case c1061-1066 (Meitantei Conan), Arc: Foreign Suspect Case c0605-0608 | e0501-0504 (Meitantei Conan), Flashbacks, Smut	English	2022-03-11	Updated	2022-05-17	5283	16/20	null	17	null	117
39038433	Oops Sparkly Slime is Bad	['Berryberryblitz']	Teen And Up Audiences		Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho	sleepy, Mistake, Friendship, chemical misshap, Humor, Lack of sleep means mistakes, Needle threats	English	2022-05-17	Completed	2022-05-17	1043	1/1	null	18	null	122
39031080	Silver Ballet	['KaitoNoir']	Not Rated	Multi	名探偵コナン | Detective Conan | Case Closed	Haibara Ai | Miyano Shiho/Kudou Shinichi | Edogawa Conan, Vermouth (Meitantei Conan) & Everyone	Vermouth (Meitantei Conan), Chianti (Meitantei Conan), Korn (Meitantei Conan), Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho		English	2022-05-16	Completed	2022-05-16	609	1/1	null	42	null	107
37953769	Opus 17	['FeatherDragon']	Not Rated	Gen	名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan & Mouri Ran, Haibara Ai | Miyano Shiho & Kudou Shinichi | Edogawa Conan, Hattori Heiji & Kudou Shinichi | Edogawa Conan, Kudou Shinichi | Edogawa Conan & Shounen Tantei-dan | Detective Boys		Drabble Collection	English	2022-03-28	Updated	2022-05-16	9525	16/17	null	10	null	142
39027183	Detectives-in-Law	['Takara_Phoenix']	General Audiences	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Hakuba Saguru, Nakamori Aoko, Hattori Heiji, Tooyama Kazuha, Sera Masumi, Mouri Ran, Suzuki Sonoko, Kyougoku Makoto	Slash, Shounen-ai, Post-Conan Kudou Shinichi, Established Relationship, Fluff	English	2022-05-16	Completed	2022-05-16	1283	1/1	4	169	16	953
35764372	I Understand You	['Berryberryblitz']	Teen And Up Audiences	F/M, M/M	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid, Kuroba Kaito | Kaitou Kid & Nakamori Ginzou, Kuroba Kaito | Kaitou Kid & Nakamori Aoko, Hakuba Saguru & Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Nakamori Ginzou, Hakuba Saguru, Nakamori Aoko	kaishin - Freeform, shinkai, Permanent Injury, paralysed Kuroba Kaito, Blood and Injury, Friendship, Paranoid! Kuroba Kaito, Paranoid! Kudo Shinichi, Magic doesn't mix well with science, Violence, Kidnapping	English	2021-12-17	Updated	2022-05-16	14707	14/?	2	75	10	1518
35625472	Frightful Addiction	['Berryberryblitz']	Teen And Up Audiences	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid, Haibara Ai | Miyano Shiho & Kudou Shinichi | Edogawa Conan	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Nakamori Aoko, Haibara Ai | Miyano Shiho	Vampire!Kuroba Kaito, Blood and Injury, Blood Drinking, depressed Kuroba Kaito, Kuroba Kaito | Kaitou Kid Needs a Hug, Angst, Kudo Shinichi is a good person, Murder, Fear, Self-Hatred, Guilt	English	2021-12-10	Updated	2022-05-16	14964	15/?	3	89	10	1845
38916957	Ruin me so sweetly love; then bury me in your heart	['Insertsomethingwittyhere']	Explicit	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Hattori Heiji/Kudou Shinichi | Edogawa Conan, Hakuba Saguru/Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Hattori Heiji, Mouri Ran, Agasa Hiroshi, Yoshida Ayumi, Haibara Ai | Miyano Shiho, Kojima Genta, Tsuburaya Mitsuhiko, Kuroba Kaito | Kaitou Kid, Hakuba Saguru, Kudou Yukiko, Kudou Yuusaku	No APTX 4869 Antidote, Aged up characters, Alpha Heiji, Omega Kudou Shinichi | Edogawa Conan, 27 yr old Heiji, 17 yr old Conan, Mitsuhiko is Mitch bcs Im watching it dubbed and I keep fluffing up his name otherwise, Fluff, Light Angst, Knotting, heat - Freeform, Rut, Teen Pregnancy, the black org isnt down yet, no miscommunication in this fic, Nuh uh, we have a healthy dose of Heiji talking too much, Hakuba and Kaito being sickly sweet in the background, I will have my HakuKai	English	2022-05-10	Updated	2022-05-16	4710	2/?	2	8	null	150
38911089	falling apart but there's no seams	['Kencha']	Teen And Up Audiences		名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan/Mouri Ran, Kudou Shinichi | Edogawa Conan & Mouri Kogorou, Mouri Kogorou & Mouri Ran	Kudou Shinichi | Edogawa Conan, Mouri Ran, Mouri Kogorou, Kudou Yuusaku, Kudou Yukiko, Kuroba Kaito | Kaitou Kid	shapeshifter fic, Rated for not fun times, Apotoxin 4869 Does Not Shrink Shinichi, Hurt/Comfort, Alternate Universe - Canon Divergence	English	2022-05-16	Updated	2022-05-16	8596	1/2	5	31	4	186
38943588	Back to Basics	['circumference']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed	Haibara Ai | Miyano Shiho & Mouri Ran, Shiho & Ran & Sonoko & Masumi, Mouri Ran & Sera Masumi	Haibara Ai | Miyano Shiho, Mouri Ran, Suzuki Sonoko, Sera Masumi, Agasa Hiroshi	canon-typical amounts of SeRan, hints of ShinRan, Mostly Fluff, sprinkling of angst	English	2022-05-15	Completed	2022-05-15	2272	1/1	6	26	3	132
39011925	what a mess I'm making	['blenderfullasarcasm']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan & Mouri Ran, Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan	Birthday Cake, Baking	English	2022-05-15	Completed	2022-05-15	0	1/1	1	13	null	121
39008772	A Study in Myriads	['CobaltCephalopod']	Teen And Up Audiences	Gen, M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid		English	2022-05-15	Updated	2022-05-15	483	1/20	null	21	null	116
22791592	Skyline: Escape	['Alshoruzen']	Mature	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid, Haibara Ai | Miyano Shiho, Hattori Heiji, Hakuba Saguru	Romance, Science Fiction, Alternate Universe - Science Fiction, Mutants, Mutant Powers	English	2020-02-18	Completed	2022-05-15	11487	4/4	6	150	11	1464
38972523	(in my field) of paper flowers	['Thrushsong_kVaris']	Teen And Up Audiences	Multi	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Mouri Ran, Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid/Mouri Ran	Kudou Shinichi | Edogawa Conan, Mouri Ran, Kuroba Kaito | Kaitou Kid, Hattori Heiji, Kudou Yukiko, Vermouth (Meitantei Conan), Satou Miwako	Polyamory, Alternate Universe - Royalty, Alternate Universe - Magic, Sato is a dragon, Vermouth is a fae, Heiji is also magic but that's only referenced, The Kudos are royalty, POV Kudou Shinichi | Edogawa Conan, Fluff, i dont know what else to tag this tis mostly fluff and shenanigans, Humor, Sappy Ending	English	2022-05-13	Completed	2022-05-15	7317	6/6	2	31	8	311
38042689	Blood Bound	['Rainyfox3']	Teen And Up Audiences	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid, Koizumi Akako, Nakamori Aoko, Nakamori Ginzou, Gin (Meitantei Conan), Snake | Jackal (Magic Kaito), Vermouth (Meitantei Conan)	Alternate Universe - Vampire, Warning: You will see blood and stuff so be careful if you can't cope with stuff like this...	English	2022-04-24	Updated	2022-05-15	90	2/?	23	118	14	1926
36742888	The Light in my Nightmares	['Subbe93']	Teen And Up Audiences	F/M	名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan/Mouri Ran, Past Kudou Shinichi/OC	Kudou Shinichi | Edogawa Conan, Mouri Ran, Araide Tomoaki	Angst, Darkfic, Hurt/Comfort, Slow Romance, Post-Traumatic Stress Disorder - PTSD, alternative universe	English	2022-01-30	Updated	2022-05-15	44168	9/18	13	36	2	755
38998068	if my heart was a house (you’d be home)	['spiltmilktea']	General Audiences	M/M	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan	Alternate Universe - Post-Canon, Fluff, Domesticity, Established Relationship, this is disgustingly soft and criminally self indulgent I'm so sorry please don't perceive, author is HORRIFIED (and a clown honkhonk)	English	2022-05-15	Completed	2022-05-15	3860	1/1	6	86	10	468
35329654	Kudo Shinichi Should Probably Tell His Parents These Things	['Yellow_Spider']	Teen And Up Audiences	Gen	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Minor or Background Relationship(s), ALMOST all canon ships, No ShinRan or KaiAo sorry!	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid, Kuroba Chikage, Kuroba Touichi, Koizumi Akako, Hakuba Saguru, Hattori Heiji, Tooyama Kazuha, Mouri Ran, Suzuki Sonoko, Sera Masumi, Haibara Ai | Miyano Shiho, Suzuki Jirokichi, Tokyo Metropolitan Police Officers (Meitantei Conan), Nakamori Aoko, Nakamori Ginzou, Background & Cameo Characters, Jii Kounosuke, Agasa Hiroshi, Spider | Gunter von Goldberg II, Snake | Jackal (Magic Kaito), Mouri Kogorou, Kisaki Eri	I will update tags as I go, Kuroba Kaito Is Not Kaitou Kid, Edogawa Conan and Kudou Shinichi are Separate People, if Conan even exists, Kudo Shinichi is Kaitou KID, this is my first ever fanfiction, Possibly OOC?, Nakamori Aoko doesn't fully hate KID, Hakuba and Akako still accuse Kaito of being KID lol, No beta we die like all side characters in the Detective Conan Filler episodes, Kudou Shinichi | Edogawa Conan Has Bad Luck, Because murders still happen around him, even though he's kid, Jii Konosuke is so done with Shinichi, ALSO since it's Detective Conan there will be the following, Murder, Suicide Attempt, Suicide, Implied/Referenced Suicide, Stealing, Shinich doesn't hold heists as often as Kaito, He didn't train to be a magician, POV Kuroba Kaito | Kaitou Kid, POV Kudou Shinichi | Edogawa Conan, mostly - Freeform, Sometimes I use another POV, Swearing, I dont know how the Kid the Phantom Theif fits in because they created the episodes later, Also it's 100 percent a custom timeline now lol, I realize I probably should have tagged this sooner, but SHINICHI IS STILL A DETECTIVE, (but y'know how Conan works out? with him hiding behind Kogoro? that's still going to happen), Shinichi and Kaito's organizations are one in the same, It's just a role-swap au tbh, A bunch of characters mostly get mentioned, Updates Changed to Every Other Saturday	English	2021-11-25	Updated	2022-05-14	99998	21/?	123	139	30	3653
