work_id	title	author	rating	category	fandom	relationship	character	additional tags	language	published	status	status date	words	chapters	comments	kudos	bookmarks	hits
38826303	we aren't all magpies	['nxrthmizu']	General Audiences	M/M	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Hakuba Saguru/Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Hakuba Saguru, Hattori Heiji, Kudou Shinichi | Edogawa Conan, Mouri Ran, Suzuki Sonoko, Tooyama Kazuha, Nakamori Ginzou	Fluff, Romance, Engagement, Rings, Marriage Proposal, Detectives, Magic, Flustered Kuroba Kaito | Kaitou Kid, Heist, Kaitou Kid Heist (Meitantei Conan/Magic Kaito), Detective Hakuba Saguru, Hakuba is so smooth in this, Oblivious Kudou Shinichi | Edogawa Conan, Hattori Heiji has to explain everything, Not beta read we die like Touichi	English	2022-05-06	Completed	2022-05-06	1813	1/1	null	38	4	187
38509729	I've Seen My Own Sun Darkened	['cryptid_likes_soup']	General Audiences	F/F, F/M, M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid, Hattori Heiji/Tooyama Kazuha, possibly others	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid, Mouri Kogorou	Hurt/Comfort, Slow Burn, Visions, Canon Compliant, Canon-Typical Violence	English	2022-04-20	Updated	2022-05-06	7802	7/?	3	103	11	1047
36089599	Witness Statement	['youtriggeredmytrapcard']	Teen And Up Audiences	M/M	名探偵コナン | Detective Conan | Case Closed	Mouri Kogorou/Nakamori Ginzou	Mouri Kogorou, Nakamori Ginzou, Mouri Ran, Kudou Shinichi | Edogawa Conan	Poison Mention, slowburn, Swearing, It's Nakamori of course there's swearing, graphic use of dub names, Alcohol, The Hangover written by someone who's never seen The Hangover, Water, A certain clumsy idiot has to be rescued from water a few times, Smoking, If you like endless banter dialogue then this is the fic for you	English	2021-12-31	Updated	2022-05-06	19265	5/6	10	15	3	388
38597649	and the tide comes in	['circumference']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed	Haibara Ai | Miyano Shiho & Miyano Akemi	Haibara Ai | Miyano Shiho, Miyano Akemi, Gin (Meitantei Conan)	Epistolary fiction, In-universe documentation, Mentions of canon-typical violence, mentions of akai/akemi, egregious use of memos, mentions of quarterly performance reviews	English	2022-05-06	Completed	2022-05-06	3834	1/1	6	12	3	88
38336380	Lyrical Spices	['Alshoruzen']	Teen And Up Audiences	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid	Post-Black Organization Takedown (Meitantei Conan), Humor, Romance, Friendship, Fluff, Getting Together	English	2022-04-12	Completed	2022-05-05	13273	7/7	11	243	29	2452
35747503	I Wish I Cared Less…	['letstrywritingmaybe']	Explicit	F/M	名探偵コナン | Detective Conan | Case Closed	Haibara Ai | Miyano Shiho/Kudou Shinichi | Edogawa Conan	Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho, Mouri Ran, Higo Ryuusuke	Part 2 of I Only Lie When I Love You, Obligated tag to say yes author is still very ace, Royal Blood lyrics every chapter? Yes	English	2021-12-16	Updated	2022-05-05	24233	8/?	37	46	2	1228
38799195	Change (In the House of Flies)	['YourLocalBoxWriter']	Mature	Gen	名探偵コナン | Detective Conan | Case Closed	Hattori Heiji & Kudou Shinichi | Edogawa Conan	Hattori Heiji, Kudou Shinichi | Edogawa Conan, Background & Cameo Characters	Horror, Body Horror, Heavy Angst, Angst, APTX 4869, Attempt at Lovecraftian Horror, Kudou Shinichi | Edogawa Conan Needs a Hug, Hattori Heiji Needs a Hug, The bbys are suffering tonight, Alternate Universe - Canon Divergence, Alternate Universe - APTX 4869 Does Something Fucky, Excessive Use of Bug Metaphors, Mansion of Nightmares, Blood and Gore, The Literary Equivalent of Going On a Drug Trip, Don't read unless you're okay with being metaphorically mindfucked, No beta we die like my self esteem during AP exams, Don't read if you aren't okay with blood and body horror cuz there is a fuckload in this fic	English	2022-05-05	Completed	2022-05-05	3637	1/1	1	4	null	42
38798484	Just Below The Surface Now	['carrotcouple']	Teen And Up Audiences	M/M, Multi	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Hakuba Saguru/Hattori Heiji/Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Hakuba Saguru, Hattori Heiji	Implied/Referenced Sexual Assault, Hurt/Comfort, the boys are all dating, Established Relationship, Polyamory, Implied/Referenced Molestation, listen nothing is explicitly stated, the main focus is the boys, and hurt/comfort, Acting, coming down from playing a role for a long time, am i talking about kaito yes, Nonbinary Character, no beta we die like nightmare, listen, i wrote this while sleep deprived, if there are mistakes i'll fix that later	English	2022-05-05	Completed	2022-05-05	1760	1/1	4	25	3	238
38788398	Torture	['Fux (Konfuchsius)']	General Audiences	F/M	名探偵コナン | Detective Conan | Case Closed	Hattori Heiji & Tooyama Kazuha	Hattori Heiji, Tooyama Kazuha		English	2022-05-04	Completed	2022-05-04	422	1/1	null	9	null	20
37166515	Sister they never have	['putrinurmawar']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan & Original Character(s), Kuroba Kaito | Kaitou Kid & Original Female Character(s)	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho, Agasa Hiroshi, Amuro Tooru | Furuya Rei	APTX 4869 Victim Kuroba Kaito | Kaitou Kid, Pandora Gem (Magic Kaito), My oc kind of know Shinichi, Original Female Character(s) - Freeform, female character who has many skills, and powers, could travel dimension, and have system, but it won't show	English	2022-02-16	Updated	2022-05-04	2103	3/?	null	15	1	213
